,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
340,Kamaishi,JP,39.27,141.88,36.01,80,0,6.53,clear sky
341,Saint Anthony,US,45.02,-93.22,42.01,52,1,6.93,clear sky
342,Nieuw Amsterdam,SR,5.88,-55.08,87.8,66,40,5.82,scattered clouds
343,Dudinka,RU,69.41,86.18,10.4,85,90,22.37,light snow
344,Muros,ES,42.78,-9.06,63.0,66,20,10.29,light rain
345,Kaduna,NG,10.52,7.44,83.61,24,16,5.99,few clouds
346,Galeana,MX,24.83,-100.07,66.99,51,23,1.01,few clouds
347,Orlovskiy,RU,46.87,42.06,40.68,91,64,12.64,broken clouds
348,Erenhot,CN,43.65,111.98,6.42,92,70,4.83,broken clouds
349,Nongstoin,IN,25.52,91.27,55.29,61,0,4.03,clear sky
350,Sinnamary,GF,5.38,-52.95,84.52,72,11,9.44,few clouds
351,Kuala Terengganu,MY,5.33,103.14,78.8,88,40,4.7,light rain
352,Zeya,RU,53.75,127.27,7.41,86,100,2.44,overcast clouds
353,Aberdeen,GB,57.14,-2.1,37.0,79,15,1.12,few clouds
354,Barinas,VE,8.62,-70.21,75.67,87,100,2.98,overcast clouds
355,Kodiak,US,57.79,-152.41,33.8,86,90,3.36,light snow
356,Ust-Tsilma,RU,65.44,52.15,14.95,95,87,4.63,overcast clouds
357,Koraput,IN,18.82,82.72,63.32,71,13,3.69,few clouds
358,Geraldton,AU,-28.77,114.6,62.6,67,82,12.75,broken clouds
359,Klyuchevskiy,RU,53.53,119.45,-0.54,91,74,2.53,broken clouds
360,Kentau,KZ,43.52,68.51,22.75,94,68,5.12,broken clouds
361,Chatham,GB,51.38,0.53,48.99,99,28,3.0,scattered clouds
